A1A,A2A,A3A,A4A,A4B,A3B,A2B,A1B,B1A,B2A,B3A,B4A,B4B,B3B,B2B,B1B,timestamp
2.592673519347193e-08,5.349929085439477e-07,5.276719350097145e-06,1.65448691902045e-06,2.8902304365266133e-06,2.2511946504050025e-06,5.208714656423339e-07,6.092015125545793e-07,3.5837205510981805e-08,4.938045372688589e-07,1.858757090042299e-06,1.799863293291572e-06,2.899826109410313e-06,1.7102353688981253e-06,1.2225725948992731e-06,4.7149598313382156e-07,825390.0209327274
7.091503117657069e-08,3.6266942144360957e-06,6.4749268446652216e-06,9.6396991811886e-07,1.8546811522839477e-06,2.0025924709995523e-06,2.0772402998673913e-06,8.247968000572285e-07,2.061230964589785e-08,1.020985348802937e-06,9.690742840843976e-07,2.4500564501494025e-06,1.149881893589031e-06,2.005262815550697e-06,1.0087688808956522e-06,1.9043515092693059e-07,825394.796616742
1.4799969567063824e-07,2.544059453584402e-06,1.7888191254715786e-06,3.9491301621146793e-07,1.3372185963232432e-06,1.1336542758696446e-06,3.2630578091379837e-07,1.3642927900552e-07,1.0791254598470863e-08,5.52996777600209e-07,4.1819569230345973e-07,1.5626668054830308e-06,1.283807108341672e-06,1.4191258460021816e-06,4.935773231109789e-07,2.4854168950824826e-07,825399.5346859567
7.331028661646264e-08,2.3728595660045044e-06,7.806840720309961e-07,2.568136223842112e-06,2.9084706052019265e-07,4.101593939372504e-06,2.057379523909078e-06,4.045528966501489e-07,2.5562663994167236e-08,3.019434079746646e-06,2.9834509084312636e-06,3.0190758375250735e-06,4.171547907092877e-06,1.071749006877272e-06,1.7767600910407775e-06,2.6145877913986645e-07,825404.2692082713
1.905448236215708e-07,8.677009513354595e-07,1.1946778014706287e-06,7.178674640858519e-07,2.411621008374402e-06,1.4058780528787433e-06,3.0572174854658655e-06,2.21928582311002e-07,3.1200532429411623e-08,9.10921446486451e-07,2.3598874847744896e-06,3.5598333842927792e-06,3.965661838686039e-06,8.482800415060177e-06,5.25776163371862e-06,9.57419518624374e-07,825409.0076628859
6.920524803950378e-08,2.9321377743392522e-06,2.117182325500214e-06,4.962195654890398e-07,3.7731541444414526e-06,2.908242472085592e-07,5.941945570498439e-08,4.4829636458024865e-07,1.567779322633737e-08,3.7732997979874263e-07,3.914555955124572e-07,1.299740166285877e-06,8.852605797240582e-07,2.2270330265982994e-06,2.0262991483489773e-07,2.468691593850845e-07,825413.7458847006
3.785264023080509e-08,2.1126214966233264e-06,1.4290280258085066e-06,2.1711160787135015e-07,1.4821680096534108e-06,1.4004235913627032e-06,6.937607609308261e-07,2.589494600691878e-07,6.567552479414778e-09,4.912393542619433e-07,5.963751648665809e-07,1.4527284034117454e-06,1.0920990881706945e-06,7.132530734267749e-07,4.897929785344723e-07,2.346350875256803e-07,825418.4724807151
4.005928890139797e-08,3.3019449824396635e-06,1.992344116721279e-06,5.557345544610665e-07,3.5741266013266223e-06,1.3434786624863752e-06,8.813858135139246e-07,1.251070115200681e-06,1.5554848030191908e-08,8.792037044690771e-07,8.828466896243142e-07,1.651162161837573e-06,1.5364448145698744e-06,2.9840159468569692e-06,7.529526307137932e-07,2.0208505024507903e-07,825423.1840654297
2.822114407984405e-08,1.4905441691889413e-06,4.634648206524827e-06,8.135067839946912e-07,4.117028174814642e-06,9.942511680460238e-07,6.102980651085106e-07,5.908776823954504e-07,7.137211591083127e-09,1.0395949390161298e-06,4.51206402556185e-07,1.4651871587564281e-06,1.12866226236539e-06,1.7944821481004022e-06,5.498370938007466e-07,2.6077622757196335e-07,825427.9214218444
1.885743727784851e-08,3.325457982742575e-07,8.583322984700052e-07,1.1822118130384782e-07,5.588554397151837e-07,1.2542923445743571e-06,6.839948249686867e-07,5.083537757125962e-07,1.793736560541818e-08,1.3020024856968462e-06,5.817199186067636e-07,3.431535828226145e-06,1.3849814862173032e-06,8.832492059178146e-07,5.015551964114746e-07,2.1233387579480185e-07,825432.662585659
