A1A,A2A,A3A,A4A,A4B,A3B,A2B,A1B,B1A,B2A,B3A,B4A,B4B,B3B,B2B,B1B,timestamp
3.4515736226203105e-08,3.1487836826667803e-07,1.6593855171600643e-06,3.4990459036544457e-06,9.175395975191597e-07,2.9600776679701142e-09,1.6066334980316153e-06,1.4056288125951288e-06,5.598690086072218e-08,8.322192609761489e-07,2.240682037275057e-06,1.979307793650316e-06,2.3947800197786172e-06,4.3340290735741785e-06,2.2586830591153715e-06,2.6990979344233736e-08,832025.507788352
9.793935170713565e-09,5.185375980204805e-07,5.261246441698572e-07,1.206843349476896e-06,1.434123571457709e-06,2.355417487386348e-09,7.875504601359529e-06,4.006584229445704e-06,2.2496655295528e-08,7.875630927434499e-07,5.230394658558331e-07,3.851564633518545e-06,3.0414239669449086e-06,1.567416534594419e-06,2.2525694576721354e-06,2.940396833724135e-08,832030.3763742292
1.7265464862863283e-08,3.9159146679330586e-07,8.014483010977144e-07,3.700982070646629e-06,4.6078971717691285e-07,6.29726586503486e-10,5.551634413908842e-06,6.308756791608221e-07,3.46911022867282e-08,6.62653854163973e-07,1.7248497719177007e-06,1.678496021110055e-06,3.099984481116242e-06,2.394348625856787e-06,2.696908217964027e-06,3.402424331064529e-08,832035.2480380064
2.5142850240284722e-08,2.5328943749082656e-07,1.0311219432778696e-06,7.749839662574347e-07,2.166144861663849e-06,5.6523520490479636e-09,4.0711342780151135e-06,3.0408816459125495e-06,3.5195172121152426e-08,2.0874535554734187e-06,1.480127015027293e-06,3.3543263816702166e-06,2.1792806115729184e-06,3.5932461390284865e-06,4.92482380706113e-06,5.972649454231026e-08,832040.1448013834
6.095628691255592e-08,8.480579620677846e-07,8.39196610412299e-06,3.328710668418754e-06,3.8567057999155285e-06,3.5390664430045873e-09,5.062042488962271e-07,1.7244887594794445e-06,1.3483544846868346e-07,3.8291795358926276e-06,1.9230269458178678e-06,8.62187195212248e-06,2.9046037996946e-06,4.940730140512627e-06,5.422388886476518e-06,7.041683181272983e-08,832045.0058357606
4.158099474185635e-08,2.7798906030975894e-07,1.4733105269044268e-06,4.187597103469881e-06,2.8896185915244036e-06,3.0858927344305063e-09,4.23381893641348e-06,4.568813215334421e-06,3.6440507566330385e-08,1.2843771978040934e-06,1.41785960375017e-06,2.198399814839834e-06,2.5608105324854128e-06,3.01794695901908e-06,4.12623374071918e-06,5.508877653666068e-08,832049.9052262376
1.1592618313367718e-08,7.401578666278519e-07,1.8349857043921026e-06,4.400453730479812e-06,2.6845653135351016e-06,9.338168694527668e-10,2.8195401717486026e-06,1.7351925699752203e-06,4.643993468726583e-08,1.2782387377367805e-06,9.41829276303301e-07,1.6592375748029325e-06,4.75151615833068e-06,4.162347420075107e-06,3.406947257430837e-06,4.1163023581770326e-08,832054.7740530148
6.340306144007265e-07,0.0001702264907833429,9.549084090024904e-06,7.53401911555943e-06,1.8789034528201305e-05,1.1283541990310065e-08,7.155890581985102e-06,5.982231563370369e-06,1.9245596665686092e-07,6.658943750510582e-05,3.069729518062118e-05,2.2541738602587613e-05,7.134157456380774e-06,9.823506253187069e-06,7.541060941951993e-06,8.913170532694248e-08,832085.0919036727
8.807591970099655e-09,5.0260098233764015e-06,1.1407073195790456e-06,9.476815424456713e-07,6.198734194181616e-07,1.7178615620028853e-09,3.629740385023946e-06,4.771794699895571e-07,2.541179434402786e-08,6.843699814832092e-06,2.8227296442033104e-06,3.9213413397542415e-06,1.1049514746874955e-06,2.0640711771785247e-06,1.724746191372264e-06,2.508276493887894e-08,832089.9561571499
1.7900588407563915e-08,3.6774035850589623e-06,5.025733136795513e-06,1.833964492949647e-06,6.490117887831246e-07,1.378780705906132e-09,1.9493110282147177e-06,1.1955844045564176e-06,1.2641205930315935e-07,5.490410369855889e-06,1.1467540063217143e-06,3.7751059798325113e-06,1.3982310910417363e-06,2.9175375354750338e-06,1.8243337133246583e-06,2.4627343119427377e-08,832094.8390614269
